Last Checked,Rank,Company,Plan,Estimated Annual Bill,Source
18/06/2026 09:01,1,Electric Ireland,Electric Ireland - EnergySaver Electricity 18%,"€1,489.15",Bonkers.ie
18/06/2026 09:01,2,Yuno Energy,Yuno Energy - 1 Year Discount Electricity,"€1,500.96",Bonkers.ie
18/06/2026 09:01,3,Bord Gáis Energy,Bord Gáis Energy - Electricity 26%,"€1,556.62",Bonkers.ie
18/06/2026 09:01,4,SSE Airtricity,SSE Airtricity - 25% Electricity,"€1,578.41",Bonkers.ie
18/06/2026 09:01,5,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,581.14",Bonkers.ie
18/06/2026 09:01,6,SSE Airtricity,SSE Airtricity - 21% Electricity,"€1,647.50",Bonkers.ie
18/06/2026 09:01,7,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,751.14",Bonkers.ie
18/06/2026 09:01,8,Electric Ireland,Electric Ireland - Standard Domestic Electricity,"€1,862.66",Bonkers.ie
18/06/2026 10:15,1,Yuno Energy,Yuno Energy - 1 Year Discount Electricity,"€1,489.15",Bonkers.ie
18/06/2026 10:15,2,Electric Ireland,Electric Ireland - EnergySaver Electricity 18%,"€1,500.96",Bonkers.ie
18/06/2026 10:15,3,Bord Gáis Energy,Bord Gáis Energy - Electricity 26%,"€1,556.62",Bonkers.ie
18/06/2026 10:15,4,SSE Airtricity,SSE Airtricity - 25% Electricity,"€1,578.41",Bonkers.ie
18/06/2026 10:15,5,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,581.14",Bonkers.ie
18/06/2026 10:15,6,SSE Airtricity,SSE Airtricity - 21% Electricity,"€1,647.50",Bonkers.ie
18/06/2026 10:15,7,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,751.14",Bonkers.ie
18/06/2026 10:15,8,Electric Ireland,Electric Ireland - Standard Domestic Electricity,"€1,862.66",Bonkers.ie
18/06/2026 10:24,1,Yuno Energy,Yuno Energy - 1 Year Discount Electricity,"€1,489.15",Bonkers.ie
18/06/2026 10:24,2,Electric Ireland,Electric Ireland - EnergySaver Electricity 18%,"€1,500.96",Bonkers.ie
18/06/2026 10:24,3,Bord Gáis Energy,Bord Gáis Energy - Electricity 26%,"€1,556.62",Bonkers.ie
18/06/2026 10:24,4,SSE Airtricity,SSE Airtricity - 25% Electricity,"€1,578.41",Bonkers.ie
18/06/2026 10:24,5,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,581.14",Bonkers.ie
18/06/2026 10:24,6,SSE Airtricity,SSE Airtricity - 21% Electricity,"€1,647.50",Bonkers.ie
18/06/2026 10:24,7,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,751.14",Bonkers.ie
18/06/2026 10:24,8,Electric Ireland,Electric Ireland - Standard Domestic Electricity,"€1,862.66",Bonkers.ie
18/06/2026 15:28,1,Yuno Energy,Yuno Energy - 1 Year Discount Electricity,"€1,489.15",Bonkers.ie
18/06/2026 15:28,2,Electric Ireland,Electric Ireland - EnergySaver Electricity 18%,"€1,500.96",Bonkers.ie
18/06/2026 15:28,3,Bord Gáis Energy,Bord Gáis Energy - Electricity 26%,"€1,556.62",Bonkers.ie
18/06/2026 15:28,4,SSE Airtricity,SSE Airtricity - 25% Electricity,"€1,578.41",Bonkers.ie
18/06/2026 15:28,5,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,581.14",Bonkers.ie
18/06/2026 15:28,6,SSE Airtricity,SSE Airtricity - 21% Electricity,"€1,647.50",Bonkers.ie
18/06/2026 15:28,7,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,751.14",Bonkers.ie
18/06/2026 15:28,8,Electric Ireland,Electric Ireland - Standard Domestic Electricity,"€1,862.66",Bonkers.ie
18/06/2026 18:29,1,Yuno Energy,Yuno Energy - 1 Year Discount Electricity,"€1,489.15",Bonkers.ie
18/06/2026 18:29,2,Electric Ireland,Electric Ireland - EnergySaver Electricity 18%,"€1,500.96",Bonkers.ie
18/06/2026 18:29,3,Bord Gáis Energy,Bord Gáis Energy - Electricity 26%,"€1,556.62",Bonkers.ie
18/06/2026 18:29,4,SSE Airtricity,SSE Airtricity - 25% Electricity,"€1,578.41",Bonkers.ie
18/06/2026 18:29,5,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,581.14",Bonkers.ie
18/06/2026 18:29,6,SSE Airtricity,SSE Airtricity - 21% Electricity,"€1,647.50",Bonkers.ie
18/06/2026 18:29,7,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,751.14",Bonkers.ie
18/06/2026 18:29,8,Electric Ireland,Electric Ireland - Standard Domestic Electricity,"€1,862.66",Bonkers.ie
18/06/2026 22:11,1,Yuno Energy,Yuno Energy - 1 Year Discount Electricity,"€1,489.15",Bonkers.ie
18/06/2026 22:11,2,Electric Ireland,Electric Ireland - EnergySaver Electricity 18%,"€1,500.96",Bonkers.ie
18/06/2026 22:11,3,Bord Gáis Energy,Bord Gáis Energy - Electricity 26%,"€1,556.62",Bonkers.ie
18/06/2026 22:11,4,SSE Airtricity,SSE Airtricity - 25% Electricity,"€1,578.41",Bonkers.ie
18/06/2026 22:11,5,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,581.14",Bonkers.ie
18/06/2026 22:11,6,SSE Airtricity,SSE Airtricity - 21% Electricity,"€1,647.50",Bonkers.ie
18/06/2026 22:11,7,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,751.14",Bonkers.ie
18/06/2026 22:11,8,Electric Ireland,Electric Ireland - Standard Domestic Electricity,"€1,862.66",Bonkers.ie
19/06/2026 04:24,1,Yuno Energy,Yuno Energy - 1 Year Discount Electricity,"€1,489.15",Bonkers.ie
19/06/2026 04:24,2,Electric Ireland,Electric Ireland - EnergySaver Electricity 18%,"€1,501.27",Bonkers.ie
19/06/2026 04:24,3,Bord Gáis Energy,Bord Gáis Energy - Electricity 26%,"€1,556.62",Bonkers.ie
19/06/2026 04:24,4,SSE Airtricity,SSE Airtricity - 25% Electricity,"€1,578.41",Bonkers.ie
19/06/2026 04:24,5,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,581.14",Bonkers.ie
19/06/2026 04:24,6,SSE Airtricity,SSE Airtricity - 21% Electricity,"€1,647.50",Bonkers.ie
19/06/2026 04:24,7,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,751.14",Bonkers.ie
19/06/2026 04:24,8,Electric Ireland,Electric Ireland - Standard Domestic Electricity,"€1,863.04",Bonkers.ie
19/06/2026 10:29,1,Yuno Energy,Yuno Energy - 1 Year Discount Electricity,"€1,489.15",Bonkers.ie
19/06/2026 10:29,2,Electric Ireland,Electric Ireland - EnergySaver Electricity 18%,"€1,501.27",Bonkers.ie
19/06/2026 10:29,3,Bord Gáis Energy,Bord Gáis Energy - Electricity 26%,"€1,556.62",Bonkers.ie
19/06/2026 10:29,4,SSE Airtricity,SSE Airtricity - 25% Electricity,"€1,578.41",Bonkers.ie
19/06/2026 10:29,5,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,581.14",Bonkers.ie
19/06/2026 10:29,6,SSE Airtricity,SSE Airtricity - 21% Electricity,"€1,647.50",Bonkers.ie
19/06/2026 10:29,7,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,751.14",Bonkers.ie
19/06/2026 10:29,8,Electric Ireland,Electric Ireland - Standard Domestic Electricity,"€1,863.04",Bonkers.ie
19/06/2026 13:18,1,Yuno Energy,Yuno Energy - 1 Year Discount Electricity,"€1,489.15",Bonkers.ie
19/06/2026 13:18,2,Electric Ireland,Electric Ireland - EnergySaver Electricity 18%,"€1,501.27",Bonkers.ie
19/06/2026 13:18,3,Bord Gáis Energy,Bord Gáis Energy - Electricity 26%,"€1,556.62",Bonkers.ie
19/06/2026 13:18,4,SSE Airtricity,SSE Airtricity - 25% Electricity,"€1,578.41",Bonkers.ie
19/06/2026 13:18,5,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,581.14",Bonkers.ie
19/06/2026 13:18,6,SSE Airtricity,SSE Airtricity - 21% Electricity,"€1,647.50",Bonkers.ie
19/06/2026 13:18,7,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,751.14",Bonkers.ie
19/06/2026 13:18,8,Electric Ireland,Electric Ireland - Standard Domestic Electricity,"€1,863.04",Bonkers.ie
19/06/2026 15:21,1,Yuno Energy,Yuno Energy - 1 Year Discount Electricity,"€1,489.15",Bonkers.ie
19/06/2026 15:21,2,Electric Ireland,Electric Ireland - EnergySaver Electricity 18%,"€1,501.27",Bonkers.ie
19/06/2026 15:21,3,Bord Gáis Energy,Bord Gáis Energy - Electricity 26%,"€1,556.62",Bonkers.ie
19/06/2026 15:21,4,SSE Airtricity,SSE Airtricity - 25% Electricity,"€1,578.41",Bonkers.ie
19/06/2026 15:21,5,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,581.14",Bonkers.ie
19/06/2026 15:21,6,SSE Airtricity,SSE Airtricity - 21% Electricity,"€1,647.50",Bonkers.ie
19/06/2026 15:21,7,SSE Airtricity,SSE Airtricity - 15% Electricity,"€1,751.14",Bonkers.ie
19/06/2026 15:21,8,Electric Ireland,Electric Ireland - Standard Domestic Electricity,"€1,863.04",Bonkers.ie
19/06/2026 18:01,1,Yuno Energy,Yuno Energy - 1 Year Discount Electricity,"€1,489.15",Bonkers.ie
19/06/2026 18:01,2,Electric Ireland,Electric Ireland - EnergySaver Electricity 18%,"€1,501.27",Bonkers.ie
